age,height,weight,gender,likness
27,170.69,76,Male,Biryani
41,165,70,Male,Biryani
29,171,80,Male,Biryani
27,173,102,Male,Biryani
29,164,67,Male,Biryani
28,174,46,Female,Biryani
27,151,64,Female,Biryani
34,176,98,Male,Biryani
32,181,87,Male,Biryani
22,184.5,80,Female,Biryani
29,163,65,Male,Pakora
29,176,78,Male,Samosa
23,178,62,Female,Samosa
28,168,74,Male,Biryani
25,165,102,Female,Biryani
27,174,78,Female,Samosa
33,162,93,Female,Biryani
28,174,68,Female,Samosa
21,5.6,71,Female,Samosa
25,185,135,Female,Samosa
23,170.69,76,Female,Biryani
35,165,70,Female,Pakora
23,150,80,Female,Biryani
22,173,102,Female,Biryani
19,132,67,Male,Pakora
34,122,46,Female,Biryani
44,151,64,Female,Pakora
23,176,98,Male,Pakora
25,181,87,Male,Biryani
35,184.5,80,Male,Pakora
44,163,65,Male,Pakora
23,176,78,Female,Samosa
23,178,62,Male,Samosa
19,156,74,Female,Biryani
21,154,102,Female,Biryani
21,142,78,Male,Samosa
33,112,93,Male,Pakora
32,78,68,Male,Samosa
41,98,71,Male,Biryani
33,100,135,Male,Biryani
